date,sell,buy,sell_ma7,sell_ma30,sell_ma365,price_change_pct,sell_volatility_30,day_of_week,quarter,month
2015-04-23,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,3,2,4
2015-04-24,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,4,2,4
2015-04-25,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,5,2,4
2015-04-26,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,6,2,4
2015-04-27,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,0,2,4
2015-04-28,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,1,2,4
2015-04-29,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,2,2,4
2015-04-30,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,3,2,4
2015-05-01,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,4,2,5
2015-05-02,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,5,2,5
2015-05-03,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,6,2,5
2015-05-04,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,0,2,5
2015-05-05,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,1,2,5
2015-05-06,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,2,2,5
2015-05-07,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,3,2,5
2015-05-08,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,4,2,5
2015-05-09,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,5,2,5
2015-05-10,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,6,2,5
2015-05-11,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,0,2,5
2015-05-12,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,1,2,5
2015-05-13,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,2,2,5
2015-05-14,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,3,2,5
2015-05-15,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,4,2,5
2015-05-16,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,5,2,5
2015-05-17,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,6,2,5
2015-05-18,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,0,2,5
2015-05-19,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,1,2,5
2015-05-20,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,2,2,5
2015-05-21,9740.0,9180.0,9740.0,9740.0,9740.0,0.0,0.0,3,2,5
